AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT4G38820,unknown protein; Has 4 Blast hits to 4 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,18.09,2.61,1.11198E-08,3.66267E-06,252963_at,#N/A,#N/A
AT4G38825,SAUR-like auxin-responsive protein family ; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18030.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,18.09,2.61,1.11198E-08,3.66267E-06,,#N/A,#N/A
AT1G02350,protoporphyrinogen oxidase-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: siroheme biosynthetic process; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink).,17.64,2.61,1.43959E-10,6.04572E-08,,#N/A,#N/A
AT5G02760,"Protein phosphatase 2C family protein; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT3G12620.2); Has 5768 Blast hits to 5765 proteins in 291 species: Archae - 2; Bacteria - 14; Metazoa - 1526; Fungi - 593; Plants - 2621; Viruses - 2; Other Eukaryotes - 1010 (source: NCBI BLink).",13.95,2.58,0,0,251017_at,3.344,30.7
AT1G29450,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G29500.1); Has 675 Blast hits to 661 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 675; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,17.48,2.58,1.1003E-11,6.26532E-09,259784_at,1.883,#N/A
AT5G62280,Protein of unknown function (DUF1442); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1442 (InterPro:IPR009902); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1442) (TAIR:AT2G45360.1); Has 92 Blast hits to 92 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 92; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,16.15,2.56,0,7E-15,247474_at,7.348,#N/A
AT5G18030,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18020.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,16.37,2.55,0,6.8E-14,,#N/A,#N/A
AT2G44080,"Encodes ARL, a gene similar to ARGOS involved in cell expansion-dependent organ growth. Upregulated by brassinosteroid. Acts downstream of BRI1.ARGOS-like (ARL); BEST Arabidopsis thaliana protein match is: auxin-regulated gene involved in organ size (TAIR:AT3G59900.1); Has 88 Blast hits to 88 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 88; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",17.35,2.53,2.0523E-11,1.13032E-08,267230_at,#N/A,#N/A
AT4G34770,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G21210.1); Has 1411 Blast hits to 1394 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1410; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,17.51,2.51,1.35127E-10,5.74666E-08,253207_at,#N/A,5.873
AT5G18080,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18020.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,17.79,2.51,3.0041E-09,1.08525E-06,,#N/A,#N/A
AT3G04030,"Homeodomain-like superfamily protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: 4 anthesis, 4 leaf senescence stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: myb-related protein 1 (TAIR:AT5G18240.2); Has 1677 Blast hits to 1670 proteins in 63 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1656; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink).",18.81,2.47,3.49415E-06,0.000678573,258807_at,1.166,#N/A
AT1G29500,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G29450.1); Has 853 Blast hits to 839 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 853; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,16.99,2.44,1.217E-12,8.01929E-10,259773_at,1.933,4.001
AT3G03840,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT3G03820.1); Has 1137 Blast hits to 1129 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1136; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,18.06,2.41,1.21282E-07,3.23391E-05,259331_at,1.754,2.836
AT3G23030,"auxin inducible gene expressed in the nucleusindole-3-acetic acid inducible 2 (IAA2); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible (TAIR:AT4G14560.1); Has 2163 Blast hits to 2162 proteins in 79 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2162; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",14.09,2.40,0,0,257766_at,6.184,4.326
AT1G75490,"encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought.Integrase-type DNA-binding superfamily protein; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G18450.1); Has 5736 Blast hits to 5602 proteins in 247 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 5714; Viruses - 6; Other Eukaryotes - 14 (source: NCBI BLink).",18.49,2.40,1.0695E-06,0.000236394,262977_at,#N/A,#N/A
AT5G20820,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G72430.1); Has 120 Blast hits to 120 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 120; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,18.49,2.39,1.58948E-06,0.000331688,246000_at,#N/A,2.666
AT1G26945,"Encodes a basic helix-loop-helix (bHLH) protein involved in blue/far-red light signaling. Physically interacts with HFR1 and negatively regulates its activity.KIDARI (KDR); FUNCTIONS IN: transcription regulator activity; INVOLVED IN: response to light stimulus; LOCATED IN: nucleus, chloroplast; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding family protein (TAIR:AT3G28857.1); Has 97 Blast hits to 97 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 97; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",13.81,2.37,0,0,,#N/A,#N/A
AT3G62090,"encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family.phytochrome interacting factor 3-like 2 (PIL2); FUNCTIONS IN: protein binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: red or far-red light signaling pathway; LOCATED IN: nucleus; EXPRESSED IN: stem, hypocotyl, root; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: phytochrome interacting factor 3-like 1 (TAIR:AT2G46970.1); Has 1467 Blast hits to 1461 proteins in 52 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 1464; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",16.73,2.34,9.45E-13,6.34798E-10,251245_at,#N/A,4.642
AT5G47370,"homeobox-leucine zipper genes induced by auxin, but not by other phytohormones.  Plays opposite roles in the shoot and root tissues in regulating auxin-mediated morphogenesis.HAT2; FUNCTIONS IN: transcription repressor activity, DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus, auxin mediated signaling pathway, shade avoidance, regulation of transcription, DNA-dependent, unidimensional cell growth; LOCATED IN: nucleus; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: HD-ZIP protein, N-terminal (InterPro:IPR006712), Homeobox, conserved site (InterPro:IPR017970), Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), Leucine zipper, homeobox-associated (InterPro:IPR003106), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein (TAIR:AT4G17460.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",14.79,2.33,0,0,248801_at,5.22,7.575
AT2G20835,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G15534.1); Has 66 Blast hits to 66 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 66; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,18.38,2.30,4.76123E-06,0.000893649,,#N/A,#N/A
AT1G73830,"BR enhanced expression 3 (BEE3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: BR enhanced expression 1 (TAIR:AT1G18400.1); Has 2141 Blast hits to 2133 proteins in 100 species: Archae - 0; Bacteria - 4; Metazoa - 8; Fungi - 37; Plants - 2087; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",16.71,2.29,1.9E-12,1.18191E-09,260070_at,#N/A,#N/A
AT2G46970,"encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family.phytochrome interacting factor 3-like 1 (PIL1); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: shade avoidance, red or far-red light signaling pathway, regulation of transcription; LOCATED IN: nucleus; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: phytochrome interacting factor 3-like 2 (TAIR:AT3G62090.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",17.70,2.29,1.744E-08,5.52765E-06,,#N/A,#N/A
AT4G14560,"auxin (indole-3-acetic acid) induced gene (IAA1) encoding a short-lived nuclear-localized transcriptional regulator protein.indole-3-acetic acid inducible (IAA1); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 2 (TAIR:AT3G23030.1); Has 1898 Blast hits to 1895 proteins in 83 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 1895; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",15.88,2.25,0,4.89E-13,245397_at,2.213,3.454
AT4G27260,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin.WES1; CONTAINS InterPro DOMAIN/s: GH3 auxin-responsive promoter (InterPro:IPR004993); BEST Arabidopsis thaliana protein match is: Auxin-responsive GH3 family protein (TAIR:AT5G54510.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,14.75,2.24,0,0,253908_at,7.871,17.31
AT4G25260,"Plant invertase/pectin methylesterase inhibitor superfamily protein; FUNCTIONS IN: enzyme inhibitor activity, pectinesterase inhibitor activity, pectinesterase activity; INVOLVED IN: shade avoidance; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pectinesterase inhibitor (InterPro:IPR006501); BEST Arabidopsis thaliana protein match is: Plant invertase/pectin methylesterase inhibitor superfamily protein (TAIR:AT5G62350.1); Has 774 Blast hits to 767 proteins in 43 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 774; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",14.25,2.21,0,0,254110_at,2.295,3.242
AT1G29440,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G29430.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,17.07,2.19,4.11931E-10,1.64758E-07,257506_at,2.565,4.186
AT5G66590,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system, extracellular region; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Allergen V5/Tpx-1 related (InterPro:IPR001283), SCP-like extracellular (InterPro:IPR014044); BEST Arabidopsis thaliana protein match is: CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (TAIR:AT5G57625.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",15.49,2.14,0,4.72E-13,247074_at,3.871,3.445
AT1G18400,"BR enhanced expression 1 (BEE1); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: BR enhanced expression 3 (TAIR:AT1G73830.1); Has 2046 Blast hits to 2038 proteins in 98 species: Archae - 0; Bacteria - 0; Metazoa - 6; Fungi - 35; Plants - 1999; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).",16.46,2.14,3.683E-12,2.20946E-09,261717_at,4.686,3.58
AT1G29465,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,17.14,2.13,1.33513E-09,5.0973E-07,,#N/A,#N/A
AT2G26710,"Encodes a member of the cytochrome p450 family that serves as a control point between multiple photoreceptor systems and brassinosteroid signal transduction. Involved in brassinolide metabolism. Mediates response to a variety of light signals including hypocotyl elongation and cotyledon expansion.PHYB ACTIVATION TAGGED SUPPRESSOR 1 (BAS1); FUNCTIONS IN: steroid hydroxylase activity, oxygen binding; INVOLVED IN: response to light stimulus, response to brassinosteroid stimulus, brassinosteroid homeostasis, brassinosteroid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, E-class, group I (InterPro:IPR002401), Cytochrome P450, conserved site (InterPro:IPR017972); BEST Arabidopsis thaliana protein match is: cytochrome P450, family 72, subfamily A, polypeptide 8 (TAIR:AT3G14620.1); Has 34717 Blast hits to 34565 proteins in 1738 species: Archae - 71; Bacteria - 6148; Metazoa - 11470; Fungi - 6879; Plants - 8435; Viruses - 3; Other Eukaryotes - 1711 (source: NCBI BLink).",16.50,2.13,7.307E-12,4.30692E-09,267614_at,4.494,7.621
AT3G55740,"Encodes a proline transporter with affinity for gly betaine, proline, and GABA.  Protein is expressed most highly in the roots.proline transporter 2 (PROT2); CONTAINS InterPro DOMAIN/s: Amino acid transporter, transmembrane (InterPro:IPR013057); BEST Arabidopsis thaliana protein match is: proline transporter 1 (TAIR:AT2G39890.2); Has 1444 Blast hits to 1438 proteins in 147 species: Archae - 0; Bacteria - 3; Metazoa - 114; Fungi - 146; Plants - 1153; Viruses - 0; Other Eukaryotes - 28 (source: NCBI BLink).",17.04,2.12,8.288E-10,3.2006E-07,251752_at,3.462,4.128
AT5G39860,"Encodes PRE1 (PACLOBUTRAZOL RESISTANCE1).  PRE1 and IBH1 form a pair of antagonistic HLH/bHLH transcription factors that function downstream of BZR1 to mediate brassinosteroid regulation of cell elongation.  BNQ1 is directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.PACLOBUTRAZOL  RESISTANCE1 (PRE1); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to brassinosteroid stimulus, unidimensional cell growth, photomorphogenesis, regulation of timing of transition from vegetative to reproductive phase; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding family protein (TAIR:AT3G28857.1); Has 97 Blast hits to 97 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 97; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",15.77,2.12,5E-15,4.543E-12,249383_at,#N/A,4.225
AT5G25190,"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.Integrase-type DNA-binding superfamily protein; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT1G15360.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",16.84,2.11,3.08592E-10,1.24913E-07,246932_at,#N/A,7.276
AT1G64660,"Encodes a functional methionine gamma-lyase, a cytosolic enzyme catalyzes the degradation of methionine into methanethiol, alpha-ketobutyrate and ammonia. The catabolism of excess methionine is important to methionine homeostasis.methionine gamma-lyase (MGL); CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Cys/Met metabolism, pyridoxal phosphate-dependent enzyme (InterPro:IPR000277), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (InterPro:IPR015422); BEST Arabidopsis thaliana protein match is: Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (TAIR:AT3G01120.1); Has 19547 Blast hits to 19544 proteins in 2474 species: Archae - 216; Bacteria - 11847; Metazoa - 211; Fungi - 771; Plants - 270; Viruses - 0; Other Eukaryotes - 6232 (source: NCBI BLink).",16.45,2.09,1.0175E-11,5.89419E-09,261957_at,#N/A,12.4
AT2G23170,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro.GH3.3; CONTAINS InterPro DOMAIN/s: GH3 auxin-responsive promoter (InterPro:IPR004993); BEST Arabidopsis thaliana protein match is: Auxin-responsive GH3 family protein (TAIR:AT4G37390.1); Has 1734 Blast hits to 1530 proteins in 236 species: Archae - 0; Bacteria - 610; Metazoa - 53; Fungi - 2; Plants - 676; Viruses - 0; Other Eukaryotes - 393 (source: NCBI BLink).,15.07,2.05,0,2.19E-13,245076_at,523.5,39.68
AT4G38850,mRNA is rapidly induced by auxin and is very short-lived. Has been used as a reporter gene in studying auxin mutants.SMALL AUXIN UPREGULATED 15 (SAUR15); CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18050.1); Has 1222 Blast hits to 1213 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1221; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,17.66,2.05,4.02231E-07,9.65268E-05,252970_at,#N/A,2.818
AT5G57760,unknown protein; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,16.60,2.02,9.2689E-11,4.20822E-08,247878_at,#N/A,#N/A
AT1G67900,"Phototropic-responsive NPH3 family protein; FUNCTIONS IN: signal transducer activity; INVOLVED IN: response to light stimulus; LOCATED IN: cellular_component unknown; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: NPH3 (InterPro:IPR004249), BTB/POZ fold (InterPro:IPR011333); BEST Arabidopsis thaliana protein match is: Phototropic-responsive NPH3 family protein (TAIR:AT3G26490.1); Has 888 Blast hits to 861 proteins in 30 species: Archae - 0; Bacteria - 0; Metazoa - 6; Fungi - 0; Plants - 877; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",12.91,2.02,0,0,,#N/A,#N/A
AT5G18020,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18080.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,16.42,2.00,3.9047E-11,2.01824E-08,,#N/A,#N/A
AT5G41400,"RING/U-box superfamily protein; FUNCTIONS IN: zinc ion binding; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, RING-type (InterPro:IPR001841), Zinc finger, C3HC4 RING-type (InterPro:IPR018957); BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT1G63840.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",16.50,2.00,8.4657E-11,3.89618E-08,249306_at,2.912,2.665
AT4G24275,Identified as a screen for stress-responsive genes.unknown protein; Has 11 Blast hits to 11 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 11; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,16.04,1.98,1.678E-12,1.06382E-09,,#N/A,#N/A
AT5G55250,Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D.IAA carboxylmethyltransferase 1 (IAMT1); CONTAINS InterPro DOMAIN/s: SAM dependent carboxyl methyltransferase (InterPro:IPR005299); BEST Arabidopsis thaliana protein match is: gibberellic acid methyltransferase 2 (TAIR:AT5G56300.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,17.98,1.95,5.02557E-06,0.000927714,248104_at,2.766,#N/A
AT3G25717,ROTUNDIFOLIA like 16 (RTFL16); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: shoot development; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: DVL (InterPro:IPR012552); BEST Arabidopsis thaliana protein match is: ROTUNDIFOLIA like 17 (TAIR:AT1G13245.1); Has 67 Blast hits to 67 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,14.77,1.94,0,4.78E-13,,#N/A,#N/A
